2025-12-15 02:14:59,007 | INFO | Log Initiated
2025-12-15 02:14:59,007 | INFO | Transformation Initiation: Done.
2025-12-15 02:14:59,019 | INFO | Transformation Run: Starting transformation from 2025-05-06 to 2025-07-30.
2025-12-15 02:14:59,020 | INFO | Transformation Started: fetching metadata from landing collection.
2025-12-15 02:14:59,031 | INFO | Metadata Fetched: Number of items fetched: 1083. Beginning transformation process.
2025-12-15 02:14:59,039 | INFO | HTML Transformation: Applied HTML cleaning for item ID DWT2528.
2025-12-15 02:14:59,045 | INFO | File Uploaded to Staging: Uploaded item ID DWT2528 to staging bucket at staging/from_20250506_to_20250730/DWT2528.html.
2025-12-15 02:14:59,060 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID DWT2528 into staging collection.
2025-12-15 02:14:59,068 | INFO | HTML Transformation: Applied HTML cleaning for item ID PWD2520 .
2025-12-15 02:14:59,072 | INFO | File Uploaded to Staging: Uploaded item ID PWD2520  to staging bucket at staging/from_20250506_to_20250730/PWD2520 .html.
2025-12-15 02:14:59,073 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID PWD2520  into staging collection.
2025-12-15 02:14:59,081 | INFO | HTML Transformation: Applied HTML cleaning for item ID UDD2517 .
2025-12-15 02:14:59,087 | INFO | File Uploaded to Staging: Uploaded item ID UDD2517  to staging bucket at staging/from_20250506_to_20250730/UDD2517 .html.
2025-12-15 02:14:59,088 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID UDD2517  into staging collection.
2025-12-15 02:14:59,096 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23152.
2025-12-15 02:14:59,102 | INFO | File Uploaded to Staging: Uploaded item ID LCR23152 to staging bucket at staging/from_20250506_to_20250730/LCR23152.html.
2025-12-15 02:14:59,104 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23152 into staging collection.
2025-12-15 02:14:59,110 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23158.
2025-12-15 02:14:59,114 | INFO | File Uploaded to Staging: Uploaded item ID LCR23158 to staging bucket at staging/from_20250506_to_20250730/LCR23158.html.
2025-12-15 02:14:59,115 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23158 into staging collection.
2025-12-15 02:14:59,123 | INFO | HTML Transformation: Applied HTML cleaning for item ID UDD2516.
2025-12-15 02:14:59,129 | INFO | File Uploaded to Staging: Uploaded item ID UDD2516 to staging bucket at staging/from_20250506_to_20250730/UDD2516.html.
2025-12-15 02:14:59,131 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID UDD2516 into staging collection.
2025-12-15 02:14:59,138 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00049978.
2025-12-15 02:14:59,144 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00049978 to staging bucket at staging/from_20250506_to_20250730/ADJ-00049978.html.
